08:05:24 22:09:04 UTC,400.0,0.07,51.36,1.04,0.0,85.41,66.0,31.8
08:05:24 22:10:24 UTC,400.0,0.06,51.36,0.98,0.0,85.41,66.0,31.8
08:05:24 22:10:35 UTC,400.0,0.07,51.36,1.06,0.0,85.41,66.0,31.8
08:05:24 22:10:45 UTC,400.0,0.07,53.03,1.04,0.0,88.21,66.0,31.8
08:05:24 22:10:56 UTC,400.0,0.06,55.52,0.98,0.0,92.42,66.0,31.8
08:05:24 22:11:06 UTC,400.0,0.06,51.36,0.97,0.0,85.41,66.0,31.9
08:05:24 22:11:17 UTC,405.0,0.06,51.36,0.99,6.0,85.41,66.0,31.9
08:05:24 22:11:27 UTC,405.0,0.06,58.01,0.95,11.0,96.63,66.0,31.9
08:05:24 22:11:38 UTC,402.0,0.06,51.36,0.98,1.0,85.41,66.0,31.9
08:05:24 22:11:49 UTC,407.0,0.06,51.36,0.95,0.0,85.41,66.0,31.9
08:05:24 22:11:59 UTC,400.0,0.06,52.19,0.94,0.0,86.81,66.0,31.9
08:05:24 22:12:10 UTC,400.0,0.06,52.19,0.98,0.0,86.81,66.0,31.9
08:05:24 22:12:20 UTC,400.0,0.06,59.67,0.95,9.0,99.44,66.0,31.9
08:05:24 22:12:31 UTC,412.0,0.06,51.36,0.94,6.0,85.41,66.0,31.9
08:05:24 22:12:41 UTC,400.0,0.06,52.19,0.93,0.0,86.81,66.0,31.9
08:05:24 22:12:52 UTC,405.0,0.06,52.19,0.93,2.0,86.81,66.0,31.9
08:05:24 22:13:02 UTC,428.0,0.06,53.03,0.94,25.0,88.21,66.0,31.9
08:05:24 22:13:13 UTC,400.0,0.05,52.19,0.91,4.0,86.81,66.0,31.9
08:05:24 22:13:23 UTC,410.0,0.05,52.19,0.88,8.0,86.81,66.0,31.9
08:05:24 22:13:34 UTC,415.0,0.06,52.19,0.92,18.0,86.81,66.0,31.9
08:05:24 22:13:45 UTC,409.0,0.05,52.19,0.9,24.0,86.81,66.0,31.9
08:05:24 22:13:55 UTC,424.0,0.06,52.19,0.91,38.0,86.81,66.0,31.9
08:05:24 22:14:06 UTC,404.0,0.06,52.19,0.92,13.0,86.81,66.0,31.9
08:05:24 22:14:16 UTC,424.0,0.05,55.52,0.89,30.0,92.42,66.0,31.9
08:05:24 22:14:27 UTC,445.0,0.05,53.86,0.92,56.0,89.62,66.0,31.9
08:05:24 22:14:37 UTC,442.0,0.05,52.19,0.9,98.0,86.81,66.0,31.9
08:05:24 22:14:48 UTC,422.0,0.05,53.86,0.87,94.0,89.62,66.0,31.9
08:05:24 22:14:58 UTC,422.0,0.05,54.69,0.86,62.0,91.02,66.0,31.9
08:05:24 22:15:32 UTC,400.0,0.05,52.19,0.83,0.0,86.81,66.0,31.9
08:05:24 22:15:43 UTC,400.0,0.05,52.19,0.83,0.0,86.81,66.0,31.9
08:05:24 22:15:53 UTC,400.0,0.05,52.19,0.82,0.0,86.81,66.0,31.9
08:05:24 22:16:04 UTC,400.0,0.04,54.69,0.78,0.0,91.02,66.0,31.9
08:05:24 22:16:14 UTC,421.0,0.05,53.03,0.85,2.0,88.21,66.0,31.9
08:05:24 22:16:25 UTC,404.0,0.05,53.03,0.83,1.0,88.21,66.0,31.9
08:05:24 22:16:36 UTC,438.0,0.05,53.03,0.84,26.0,88.21,66.0,31.9
08:05:24 22:16:46 UTC,421.0,0.05,53.86,0.82,38.0,89.62,66.0,31.9
08:05:24 22:16:57 UTC,418.0,0.04,52.19,0.8,0.0,86.81,66.0,31.9
08:05:24 22:17:07 UTC,400.0,0.04,53.03,0.77,6.0,88.21,66.0,31.9
08:05:24 22:17:18 UTC,400.0,0.04,52.19,0.77,0.0,86.81,66.0,31.9
08:05:24 22:17:28 UTC,416.0,0.04,52.19,0.8,0.0,86.81,66.0,31.9
08:05:24 22:17:39 UTC,423.0,0.05,52.19,0.85,19.0,86.81,66.0,31.9
08:05:24 22:17:49 UTC,433.0,0.05,52.19,0.87,33.0,86.81,66.0,31.9
08:05:24 22:18:00 UTC,428.0,0.05,53.86,0.85,22.0,89.62,66.0,31.9
08:05:24 22:18:10 UTC,409.0,0.05,52.19,0.82,38.0,86.81,66.0,31.9
08:05:24 22:18:21 UTC,413.0,0.04,52.19,0.8,24.0,86.81,66.0,31.9
08:05:24 22:18:32 UTC,432.0,0.05,52.19,0.83,24.0,86.81,66.0,31.9
08:05:24 22:18:42 UTC,436.0,0.05,59.67,0.83,51.0,99.44,66.0,31.9
08:05:24 22:18:53 UTC,432.0,0.05,51.36,0.82,68.0,85.41,66.0,31.9
08:05:24 22:19:03 UTC,440.0,0.04,52.19,0.79,77.0,86.81,66.0,31.9
08:05:24 22:19:14 UTC,446.0,0.04,52.19,0.76,80.0,86.81,66.0,31.9
08:05:24 22:19:24 UTC,424.0,0.04,52.19,0.74,72.0,86.81,66.0,31.9
08:05:24 22:19:35 UTC,426.0,0.04,53.03,0.74,56.0,88.21,66.0,31.9
08:05:24 22:19:45 UTC,417.0,0.04,52.19,0.72,25.0,86.81,66.0,31.9
08:05:24 22:19:56 UTC,428.0,0.04,54.69,0.75,26.0,91.02,66.0,31.9
08:05:24 22:20:07 UTC,427.0,0.04,53.03,0.72,31.0,88.21,66.0,31.9
08:05:24 22:20:17 UTC,430.0,0.04,51.36,0.73,40.0,85.41,66.0,31.9
08:05:24 22:20:28 UTC,429.0,0.04,53.03,0.71,45.0,88.21,66.0,31.9
08:05:24 22:20:38 UTC,415.0,0.04,52.19,0.71,35.0,86.81,66.0,31.9
08:05:24 22:20:49 UTC,416.0,0.04,52.19,0.71,38.0,86.81,66.0,31.9
08:05:24 22:20:59 UTC,400.0,0.04,52.19,0.71,40.0,86.81,66.0,31.9
08:05:24 22:21:10 UTC,447.0,0.04,53.86,0.71,56.0,89.62,66.0,31.9
08:05:24 22:21:20 UTC,408.0,0.03,53.03,0.63,51.0,88.21,66.0,31.9
08:05:24 22:21:31 UTC,420.0,0.03,56.35,0.65,23.0,93.82,66.0,31.9
08:05:24 22:23:32 UTC,400.0,0.01,10.69,0.38,0.0,17.82,66.0,31.9
08:05:24 22:23:42 UTC,400.0,0.05,9.86,0.84,0.0,16.43,66.0,31.9
08:05:24 22:23:53 UTC,400.0,0.04,9.86,0.77,0.0,16.43,66.0,31.9
08:05:24 22:24:04 UTC,432.0,0.03,9.86,0.67,49.0,16.43,66.0,31.9
08:05:24 22:24:14 UTC,409.0,0.02,9.86,0.53,48.0,16.43,66.0,31.9
08:05:24 22:24:25 UTC,441.0,0.02,9.86,0.51,82.0,16.43,66.0,31.9
08:05:24 22:24:35 UTC,478.0,0.02,10.69,0.47,120.0,17.82,66.0,31.9
08:05:24 22:24:46 UTC,502.0,0.02,9.86,0.43,172.0,16.43,66.0,31.9
08:05:24 22:24:56 UTC,511.0,0.01,9.86,0.39,210.0,16.43,66.0,31.9
08:05:24 22:25:07 UTC,504.0,0.01,9.86,0.33,223.0,16.43,66.0,31.9
08:05:24 22:25:17 UTC,455.0,0.01,10.69,0.28,164.0,17.82,66.0,31.9
08:05:24 22:25:28 UTC,431.0,0.01,10.69,0.25,108.0,17.82,66.0,31.9
08:05:24 22:25:39 UTC,408.0,0.01,10.69,0.27,33.0,17.82,66.0,31.9
08:05:24 22:25:49 UTC,403.0,0.01,9.86,0.27,17.0,16.43,66.0,31.9
08:05:24 22:26:00 UTC,439.0,0.01,12.35,0.28,50.0,20.59,66.0,31.9
08:05:24 22:26:10 UTC,485.0,0.01,10.69,0.27,123.0,17.82,66.0,31.9
08:05:24 22:26:21 UTC,492.0,0.01,10.69,0.26,157.0,17.82,66.0,31.8
08:05:24 22:26:31 UTC,497.0,0.01,9.86,0.24,172.0,16.43,66.0,31.8
08:05:24 22:26:42 UTC,511.0,0.01,9.86,0.23,200.0,16.43,66.0,31.8
08:05:24 22:26:52 UTC,473.0,0.0,10.69,0.2,189.0,17.82,66.0,31.8
08:05:24 22:27:03 UTC,486.0,0.0,14.84,0.21,167.0,24.74,66.0,31.8
08:05:24 22:27:13 UTC,504.0,0.0,13.18,0.2,169.0,21.97,66.0,31.8
08:05:24 22:27:24 UTC,527.0,0.0,10.69,0.2,204.0,17.82,66.0,31.8
08:05:24 22:27:35 UTC,530.0,0.0,25.63,0.19,238.0,42.72,66.0,31.8
08:05:24 22:27:45 UTC,519.0,0.0,10.69,0.18,225.0,17.82,66.0,31.7
08:05:24 22:27:56 UTC,478.0,0.0,11.52,0.15,182.0,19.2,66.0,31.7
08:05:24 22:28:06 UTC,470.0,0.0,9.86,0.15,138.0,16.43,66.0,31.7
08:05:24 22:28:17 UTC,502.0,0.0,10.69,0.16,137.0,17.82,66.0,31.7
08:05:24 22:28:27 UTC,527.0,0.0,9.86,0.16,208.0,16.43,66.0,31.7
08:05:24 22:28:38 UTC,564.0,0.0,11.52,0.16,278.0,19.2,66.0,31.7
08:05:24 22:28:48 UTC,471.0,0.0,14.01,0.14,192.0,23.35,66.0,31.7
08:05:24 22:28:59 UTC,486.0,0.0,9.86,0.14,182.0,16.43,66.0,31.7
08:05:24 22:29:10 UTC,456.0,0.0,9.86,0.13,126.0,16.43,66.0,31.7
08:05:24 22:29:20 UTC,495.0,0.0,10.69,0.13,144.0,17.82,66.0,31.7
08:05:24 22:29:31 UTC,508.0,0.0,10.69,0.13,156.0,17.82,66.0,31.7
08:05:24 22:29:41 UTC,504.0,0.0,10.69,0.13,191.0,17.82,66.0,31.7
08:05:24 22:29:52 UTC,520.0,0.0,14.01,0.13,212.0,23.35,66.0,31.7
08:05:24 22:30:02 UTC,489.0,0.0,9.86,0.12,206.0,16.43,66.0,31.7
08:05:24 22:30:13 UTC,487.0,0.0,11.52,0.11,162.0,19.2,66.0,31.7
08:05:24 22:30:23 UTC,462.0,0.0,10.69,0.11,114.0,17.82,66.0,31.7
08:05:24 22:30:34 UTC,453.0,0.0,9.86,0.11,106.0,16.43,66.0,31.7
08:05:24 22:30:44 UTC,478.0,0.0,12.35,0.11,93.0,20.59,66.0,31.7
08:05:24 22:30:55 UTC,511.0,0.0,9.86,0.11,172.0,16.43,66.0,31.7
08:05:24 22:31:06 UTC,520.0,0.0,9.86,0.11,195.0,16.43,66.0,31.7
08:05:24 22:31:16 UTC,537.0,0.0,18.16,0.11,216.0,30.27,66.0,31.7
08:05:24 22:31:27 UTC,493.0,0.0,10.69,0.1,196.0,17.82,66.0,31.7
08:05:24 22:31:37 UTC,497.0,0.0,9.86,0.09,162.0,16.43,66.0,31.7
08:05:24 22:31:48 UTC,466.0,0.0,9.86,0.09,145.0,16.43,66.0,31.7
08:05:24 22:31:58 UTC,460.0,0.0,9.86,0.09,96.0,16.43,66.0,31.7
08:05:24 22:32:09 UTC,507.0,0.0,9.86,0.09,147.0,16.43,66.0,31.6
08:05:24 22:32:19 UTC,532.0,0.0,9.86,0.09,186.0,16.43,66.0,31.6
08:05:24 22:32:30 UTC,504.0,0.0,9.86,0.08,211.0,16.43,66.0,31.6
08:05:24 22:32:40 UTC,441.0,0.0,9.86,0.08,132.0,16.43,66.0,31.6
08:05:24 22:32:51 UTC,441.0,0.0,10.69,0.08,91.0,17.82,66.0,31.6
08:05:24 22:33:02 UTC,454.0,0.0,10.69,0.08,80.0,17.82,66.0,31.6
08:05:24 22:33:12 UTC,493.0,0.0,9.86,0.08,120.0,16.43,66.0,31.6
08:05:24 22:33:23 UTC,449.0,0.0,9.86,0.08,87.0,16.43,66.0,31.6
08:05:24 22:33:33 UTC,469.0,0.0,9.86,0.08,82.0,16.43,66.0,31.6
08:05:24 22:33:44 UTC,478.0,0.0,9.86,0.07,113.0,16.43,66.0,31.6
08:05:24 22:33:54 UTC,455.0,0.0,24.8,0.07,92.0,41.34,66.0,31.6
08:05:24 22:34:05 UTC,441.0,0.0,11.52,0.07,88.0,19.2,66.0,31.6
08:05:24 22:34:15 UTC,463.0,0.0,9.86,0.07,78.0,16.43,66.0,31.6
08:05:24 22:34:26 UTC,455.0,0.0,10.69,0.06,78.0,17.82,66.0,31.5
08:05:24 22:34:37 UTC,487.0,0.0,9.86,0.07,101.0,16.43,66.0,31.5
08:05:24 22:34:47 UTC,473.0,0.0,10.69,0.07,105.0,17.82,66.0,31.5
08:05:24 22:34:58 UTC,476.0,0.0,11.52,0.07,118.0,19.2,66.0,31.5
08:05:24 22:35:08 UTC,515.0,0.0,9.86,0.07,157.0,16.43,66.0,31.5
08:05:24 22:35:19 UTC,513.0,0.0,11.52,0.07,182.0,19.2,66.0,31.5
08:05:24 22:35:29 UTC,476.0,0.0,9.86,0.06,158.0,16.43,66.0,31.5
08:05:24 22:35:40 UTC,482.0,0.0,14.01,0.06,116.0,23.35,67.0,31.5
08:05:24 22:35:50 UTC,490.0,0.0,9.86,0.06,109.0,16.43,67.0,31.5
08:05:24 22:36:01 UTC,475.0,0.0,9.03,0.06,133.0,15.05,67.0,31.5
08:05:24 22:36:11 UTC,487.0,0.0,10.69,0.06,120.0,17.82,67.0,31.5
08:05:24 22:36:22 UTC,460.0,0.0,11.52,0.06,84.0,19.2,67.0,31.5
08:05:24 22:36:33 UTC,453.0,0.0,9.86,0.05,60.0,16.43,67.0,31.5
08:05:24 22:36:43 UTC,406.0,0.0,9.86,0.05,4.0,16.43,67.0,31.5
08:05:24 22:36:54 UTC,415.0,0.0,9.86,0.05,0.0,16.43,67.0,31.5
08:05:24 22:37:04 UTC,407.0,0.0,9.86,0.05,0.0,16.43,67.0,31.5
08:05:24 22:37:15 UTC,431.0,0.0,9.86,0.05,11.0,16.43,67.0,31.5
08:05:24 22:37:25 UTC,493.0,0.0,10.69,0.05,95.0,17.82,67.0,31.5
08:05:24 22:37:36 UTC,484.0,0.0,9.86,0.05,134.0,16.43,67.0,31.5
08:05:24 22:37:46 UTC,471.0,0.0,9.86,0.05,130.0,16.43,67.0,31.5
08:05:24 22:37:57 UTC,464.0,0.0,9.86,0.05,124.0,16.43,67.0,31.5
08:05:24 22:38:07 UTC,464.0,0.0,9.86,0.05,112.0,16.43,67.0,31.5
08:05:24 22:38:18 UTC,405.0,0.0,11.52,0.04,42.0,19.2,67.0,31.5
08:05:24 22:38:29 UTC,407.0,0.0,17.33,0.04,0.0,28.89,67.0,31.5
08:05:24 22:38:39 UTC,441.0,0.0,10.69,0.05,24.0,17.82,67.0,31.5
08:05:24 22:38:50 UTC,458.0,0.0,10.69,0.05,47.0,17.82,67.0,31.5
08:05:24 22:39:00 UTC,478.0,0.0,9.86,0.05,83.0,16.43,67.0,31.4
08:05:24 22:39:11 UTC,456.0,0.0,9.86,0.04,95.0,16.43,67.0,31.4
08:05:24 22:39:21 UTC,459.0,0.0,10.69,0.04,91.0,17.82,67.0,31.4
08:05:24 22:39:32 UTC,449.0,0.0,9.03,0.04,87.0,15.05,67.0,31.4
08:05:24 22:39:42 UTC,474.0,0.0,9.86,0.04,96.0,16.43,67.0,31.4
08:05:24 22:39:53 UTC,453.0,0.0,9.86,0.04,68.0,16.43,67.0,31.4
08:05:24 22:40:04 UTC,483.0,0.0,9.86,0.04,121.0,16.43,67.0,31.3
08:05:24 22:40:14 UTC,490.0,0.0,9.86,0.04,147.0,16.43,67.0,31.3
08:05:24 22:40:25 UTC,489.0,0.0,12.35,0.04,149.0,20.59,67.0,31.3
08:05:24 22:40:35 UTC,474.0,0.0,9.86,0.04,131.0,16.43,67.0,31.3
08:05:24 22:40:46 UTC,441.0,0.0,9.86,0.04,67.0,16.43,67.0,31.4
08:05:24 22:40:56 UTC,432.0,0.0,11.52,0.04,45.0,19.2,67.0,31.4
08:05:24 22:41:07 UTC,433.0,0.0,9.86,0.04,17.0,16.43,67.0,31.4
08:05:24 22:41:17 UTC,480.0,0.0,9.86,0.04,76.0,16.43,67.0,31.4
08:05:24 22:41:28 UTC,466.0,0.0,9.86,0.04,103.0,16.43,67.0,31.4
08:05:24 22:41:38 UTC,407.0,0.0,10.69,0.03,26.0,17.82,67.0,31.4
08:05:24 22:41:49 UTC,409.0,0.0,26.46,0.03,16.0,44.1,67.0,31.4
08:05:24 22:42:00 UTC,402.0,0.0,9.86,0.03,0.0,16.43,67.0,31.4
08:05:24 22:42:10 UTC,407.0,0.0,9.86,0.03,0.0,16.43,67.0,31.4
08:05:24 22:42:21 UTC,413.0,0.0,10.69,0.03,0.0,17.82,67.0,31.4
08:05:24 22:42:31 UTC,442.0,0.0,9.86,0.03,0.0,16.43,67.0,31.4
08:05:24 22:42:42 UTC,416.0,0.0,9.86,0.03,9.0,16.43,67.0,31.4
08:05:24 22:42:52 UTC,439.0,0.0,9.86,0.03,31.0,16.43,67.0,31.4
08:05:24 22:43:03 UTC,435.0,0.0,9.86,0.03,40.0,16.43,67.0,31.4
08:05:24 22:43:13 UTC,411.0,0.0,10.69,0.03,33.0,17.82,67.0,31.4
08:05:24 22:43:24 UTC,433.0,0.0,10.69,0.03,29.0,17.82,67.0,31.4
08:05:24 22:43:35 UTC,424.0,0.0,9.86,0.03,21.0,16.43,67.0,31.4
08:05:24 22:43:45 UTC,445.0,0.0,14.01,0.03,41.0,23.35,67.0,31.4
08:05:24 22:43:56 UTC,469.0,0.0,10.69,0.03,65.0,17.82,67.0,31.4
08:05:24 22:44:06 UTC,454.0,0.0,10.69,0.03,87.0,17.82,67.0,31.4
08:05:24 22:44:17 UTC,415.0,0.0,12.35,0.03,57.0,20.59,67.0,31.4
08:05:24 22:44:27 UTC,463.0,0.0,9.86,0.03,59.0,16.43,67.0,31.5
08:05:24 22:44:38 UTC,442.0,0.0,9.86,0.03,74.0,16.43,67.0,31.5
08:05:24 22:44:48 UTC,467.0,0.0,10.69,0.03,79.0,17.82,67.0,31.5
08:05:24 22:44:59 UTC,436.0,0.0,22.31,0.03,76.0,37.19,67.0,31.5
08:05:24 22:45:09 UTC,414.0,0.0,9.86,0.03,27.0,16.43,67.0,31.5
08:05:24 22:45:20 UTC,452.0,0.0,9.86,0.03,51.0,16.43,67.0,31.5
08:05:24 22:45:31 UTC,438.0,0.0,10.69,0.03,45.0,17.82,67.0,31.4
08:05:24 22:45:41 UTC,422.0,0.0,9.86,0.03,48.0,16.43,67.0,31.4
08:05:24 22:45:52 UTC,414.0,0.0,10.69,0.03,28.0,17.82,67.0,31.5
08:05:24 22:46:02 UTC,441.0,0.0,9.86,0.03,25.0,16.43,67.0,31.4
08:05:24 22:46:13 UTC,433.0,0.0,9.86,0.03,47.0,16.43,67.0,31.4
08:05:24 22:46:23 UTC,445.0,0.0,10.69,0.03,26.0,17.82,67.0,31.4
08:05:24 22:46:34 UTC,404.0,0.0,10.69,0.02,10.0,17.82,67.0,31.4
08:05:24 22:46:44 UTC,415.0,0.0,11.52,0.03,0.0,19.2,67.0,31.4
08:05:24 22:46:55 UTC,428.0,0.0,9.86,0.03,0.0,16.43,67.0,31.4
08:05:24 22:47:05 UTC,400.0,0.0,9.86,0.02,0.0,16.43,67.0,31.4
08:05:24 22:47:16 UTC,400.0,0.0,11.52,0.02,0.0,19.2,67.0,31.3
08:05:24 22:47:27 UTC,400.0,0.0,9.86,0.02,0.0,16.43,67.0,31.3
08:05:24 22:47:37 UTC,400.0,0.0,9.86,0.03,0.0,16.43,67.0,31.3
08:05:24 22:47:48 UTC,400.0,0.0,10.69,0.02,0.0,17.82,67.0,31.3
08:05:24 22:47:58 UTC,400.0,0.0,10.69,0.02,0.0,17.82,67.0,31.3
08:05:24 22:48:09 UTC,400.0,0.0,9.03,0.02,0.0,15.05,67.0,31.3
08:05:24 22:48:19 UTC,412.0,0.0,13.18,0.02,0.0,21.97,67.0,31.3
08:05:24 22:48:30 UTC,435.0,0.0,9.86,0.02,14.0,16.43,67.0,31.3
08:05:24 22:48:40 UTC,431.0,0.0,9.86,0.02,57.0,16.43,67.0,31.3
08:05:24 22:48:51 UTC,450.0,0.0,11.52,0.02,56.0,19.2,67.0,31.3
08:05:24 22:49:02 UTC,424.0,0.0,11.52,0.02,32.0,19.2,67.0,31.3
08:05:24 22:49:12 UTC,431.0,0.0,12.35,0.02,8.0,20.59,67.0,31.4
08:05:24 22:49:23 UTC,459.0,0.0,9.86,0.02,56.0,16.43,67.0,31.4
08:05:24 22:49:33 UTC,462.0,0.0,11.52,0.02,61.0,19.2,67.0,31.4
08:05:24 22:49:44 UTC,441.0,0.0,9.86,0.02,47.0,16.43,67.0,31.4
08:05:24 22:49:54 UTC,413.0,0.0,13.18,0.02,32.0,21.97,67.0,31.5
08:05:24 22:50:05 UTC,456.0,0.0,9.03,0.02,64.0,15.05,67.0,31.5
08:05:24 22:50:15 UTC,438.0,0.0,12.35,0.02,24.0,20.59,67.0,31.5
08:05:24 22:50:26 UTC,460.0,0.0,11.52,0.02,68.0,19.2,67.0,31.5
08:05:24 22:50:36 UTC,472.0,0.0,9.86,0.02,85.0,16.43,67.0,31.5
08:05:24 22:50:47 UTC,444.0,0.0,9.86,0.02,57.0,16.43,66.0,31.5
08:05:24 22:50:58 UTC,428.0,0.0,10.69,0.02,17.0,17.82,66.0,31.5
08:05:24 22:51:08 UTC,428.0,0.0,9.03,0.02,0.0,15.05,66.0,31.6
08:05:24 22:51:19 UTC,400.0,0.0,9.86,0.02,3.0,16.43,66.0,31.6
08:05:24 22:51:29 UTC,418.0,0.0,9.86,0.02,0.0,16.43,66.0,31.6
08:05:24 22:51:40 UTC,425.0,0.0,9.86,0.02,0.0,16.43,66.0,31.6
08:05:24 22:51:50 UTC,450.0,0.0,9.86,0.02,4.0,16.43,66.0,31.6
08:05:24 22:52:01 UTC,426.0,0.0,9.86,0.02,30.0,16.43,66.0,31.6
08:05:24 22:52:11 UTC,426.0,0.0,10.69,0.02,8.0,17.82,66.0,31.6
08:05:24 22:52:22 UTC,443.0,0.0,9.86,0.02,27.0,16.43,66.0,31.6
08:05:24 22:52:33 UTC,431.0,0.0,9.03,0.02,20.0,15.05,66.0,31.6
08:05:24 22:52:43 UTC,420.0,0.0,10.69,0.02,2.0,17.82,66.0,31.6
08:05:24 22:52:54 UTC,400.0,0.0,9.86,0.02,0.0,16.43,66.0,31.6
08:05:24 22:53:04 UTC,426.0,0.0,9.86,0.02,0.0,16.43,66.0,31.6
08:05:24 22:53:15 UTC,441.0,0.0,11.52,0.02,39.0,19.2,66.0,31.6
